,Density,Trajectory,Discovered Shortest Path,Final Shortest Path,Processed Cells,Trial
0,0.0,201,201,201,10201,1
0,0.03,207,203,201,41889,1
0,0.06,219,209,201,40497,1
0,0.09,227,215,201,64865,1
0,0.12,211,207,201,60489,1
0,0.15,225,217,201,94337,1
0,0.18,253,225,201,149312,1
0,0.21,265,221,201,140148,1
0,0.24,313,223,201,205954,1
0,0.27,407,261,203,218142,1
0,0.3,395,263,203,217671,1
0,0.32999999999999996,421,243,203,312595,1
0,0.0,201,201,201,10201,2
0,0.03,207,205,201,27776,2
0,0.06,209,205,201,54100,2
0,0.09,219,203,201,86881,2
0,0.12,243,221,201,60203,2
0,0.15,261,225,201,65152,2
0,0.18,281,223,201,176078,2
0,0.21,293,233,201,123479,2
0,0.24,303,221,201,197417,2
0,0.27,355,271,201,274556,2
0,0.3,459,265,201,244499,2
0,0.32999999999999996,569,243,215,300953,2
0,0.0,201,201,201,10201,3
0,0.03,209,203,201,38675,3
0,0.06,223,207,201,44180,3
0,0.09,215,207,201,75711,3
0,0.12,251,223,201,88693,3
0,0.15,251,217,201,91252,3
0,0.18,257,217,201,136696,3
0,0.21,277,235,201,104193,3
0,0.24,311,223,201,184249,3
0,0.27,291,229,201,201072,3
0,0.3,413,265,203,306715,3
0,0.32999999999999996,293,229,203,302302,3
0,0.0,201,201,201,10201,4
0,0.03,207,205,201,20787,4
0,0.06,219,209,201,49825,4
0,0.09,229,213,201,43955,4
0,0.12,235,219,201,52598,4
0,0.15,259,225,201,135278,4
0,0.18,289,247,201,154222,4
0,0.21,333,247,201,137922,4
0,0.24,305,243,205,179073,4
0,0.27,365,241,201,225705,4
0,0.3,321,251,211,298391,4
0,0.32999999999999996,417,259,203,347003,4
0,0.0,201,201,201,10201,5
0,0.03,209,203,201,33102,5
0,0.06,207,203,201,63354,5
0,0.09,215,203,201,79867,5
0,0.12,259,223,201,42267,5
0,0.15,267,225,201,128926,5
0,0.18,277,229,201,90365,5
0,0.21,249,215,201,106035,5
0,0.24,281,227,201,150034,5
0,0.27,337,245,201,202948,5
0,0.3,291,223,203,297253,5
0,0.32999999999999996,419,251,209,370367,5
0,0.0,201,201,201,10201,6
0,0.03,213,201,201,36847,6
0,0.06,207,203,201,49453,6
0,0.09,219,207,201,58512,6
0,0.12,239,217,201,68835,6
0,0.15,259,227,201,83065,6
0,0.18,261,231,201,134313,6
0,0.21,255,217,201,165521,6
0,0.24,287,227,201,217965,6
0,0.27,321,241,201,222570,6
0,0.3,437,257,201,175100,6
0,0.32999999999999996,365,245,207,256027,6
0,0.0,201,201,201,10201,7
0,0.03,209,201,201,23639,7
0,0.06,209,209,201,70743,7
0,0.09,253,223,201,53646,7
0,0.12,223,211,201,74240,7
0,0.15,279,233,201,72645,7
0,0.18,257,231,201,99378,7
0,0.21,283,229,201,85262,7
0,0.24,291,235,201,188539,7
0,0.27,413,283,203,188881,7
0,0.3,293,237,203,259830,7
0,0.32999999999999996,345,245,221,349927,7
0,0.0,201,201,201,10201,8
0,0.03,207,205,201,17708,8
0,0.06,215,205,201,46799,8
0,0.09,211,211,201,38443,8
0,0.12,233,213,201,64710,8
0,0.15,263,225,201,99906,8
0,0.18,247,215,201,136810,8
0,0.21,261,215,201,233189,8
0,0.24,303,227,201,198713,8
0,0.27,313,233,203,209388,8
0,0.3,429,249,203,316480,8
0,0.32999999999999996,539,305,207,256005,8
0,0.0,201,201,201,10201,9
0,0.03,211,203,201,21936,9
0,0.06,211,205,201,54042,9
0,0.09,217,211,201,44649,9
