,Time,Heuristic,Density,Trajectory
0,0.2816028594970703,Combined Manhattan Euclidian,0.30000000000000004,343
0,0.15319180488586426,Chebyshev,0.0,201
0,0.15904498100280762,Manhattan,0.0,201
0,0.1877448558807373,Euclidian,0.0,201
0,0.004465341567993164,Weighted Manhattan,0.0,201
0,0.006582975387573242,Combined Chebyshev Manhattan,0.0,201
0,0.006540060043334961,Combined Chebyshev Euclidian,0.0,201
0,0.006560087203979492,Combined Manhattan Euclidian,0.0,201
0,2.0958211421966553,Chebyshev,0.1,209
0,1.080329179763794,Manhattan,0.1,235
0,2.289975881576538,Euclidian,0.1,209
0,0.047737836837768555,Weighted Manhattan,0.1,235
0,0.06056690216064453,Combined Chebyshev Manhattan,0.1,209
0,0.07677483558654785,Combined Chebyshev Euclidian,0.1,209
0,0.07719707489013672,Combined Manhattan Euclidian,0.1,209
0,3.511725902557373,Chebyshev,0.2,237
0,1.8042051792144775,Manhattan,0.2,333
0,3.7470948696136475,Euclidian,0.2,237
0,0.09097123146057129,Weighted Manhattan,0.2,333
0,0.11577892303466797,Combined Chebyshev Manhattan,0.2,237
0,0.13190102577209473,Combined Chebyshev Euclidian,0.2,237
0,0.13818097114562988,Combined Manhattan Euclidian,0.2,237
0,7.96427583694458,Chebyshev,0.30000000000000004,305
0,3.2180778980255127,Manhattan,0.30000000000000004,347
0,8.026520252227783,Euclidian,0.30000000000000004,305
0,0.14142680168151855,Weighted Manhattan,0.30000000000000004,347
0,0.23035693168640137,Combined Chebyshev Manhattan,0.30000000000000004,307
0,0.2586989402770996,Combined Chebyshev Euclidian,0.30000000000000004,329
0,0.24193620681762695,Combined Manhattan Euclidian,0.30000000000000004,329
0,0.162614107131958,Chebyshev,0.0,201
0,0.14571094512939453,Manhattan,0.0,201
0,0.177398681640625,Euclidian,0.0,201
0,0.004287242889404297,Weighted Manhattan,0.0,201
0,0.011816978454589844,Combined Chebyshev Manhattan,0.0,201
0,0.007580280303955078,Combined Chebyshev Euclidian,0.0,201
0,0.00801396369934082,Combined Manhattan Euclidian,0.0,201
0,1.9924509525299072,Chebyshev,0.1,203
0,0.7037320137023926,Manhattan,0.1,221
0,2.101477861404419,Euclidian,0.1,203
0,0.03744697570800781,Weighted Manhattan,0.1,221
0,0.05772209167480469,Combined Chebyshev Manhattan,0.1,203
0,0.07362198829650879,Combined Chebyshev Euclidian,0.1,203
0,0.07288289070129395,Combined Manhattan Euclidian,0.1,203
0,4.072028160095215,Chebyshev,0.2,221
0,1.2919437885284424,Manhattan,0.2,245
0,4.204050779342651,Euclidian,0.2,221
0,0.05412697792053223,Weighted Manhattan,0.2,245
0,0.12169694900512695,Combined Chebyshev Manhattan,0.2,221
0,0.14908623695373535,Combined Chebyshev Euclidian,0.2,221
0,0.14241480827331543,Combined Manhattan Euclidian,0.2,221
0,5.431320905685425,Chebyshev,0.30000000000000004,277
0,3.9927217960357666,Manhattan,0.30000000000000004,377
0,5.180711030960083,Euclidian,0.30000000000000004,277
0,0.17129015922546387,Weighted Manhattan,0.30000000000000004,377
0,0.17094087600708008,Combined Chebyshev Manhattan,0.30000000000000004,277
0,0.19690608978271484,Combined Chebyshev Euclidian,0.30000000000000004,277
0,0.19789695739746094,Combined Manhattan Euclidian,0.30000000000000004,277
0,0.16978907585144043,Chebyshev,0.0,201
0,0.15095281600952148,Manhattan,0.0,201
0,0.1949150562286377,Euclidian,0.0,201
0,0.005541801452636719,Weighted Manhattan,0.0,201
0,0.005933046340942383,Combined Chebyshev Manhattan,0.0,201
0,0.007780790328979492,Combined Chebyshev Euclidian,0.0,201
0,0.006600856781005859,Combined Manhattan Euclidian,0.0,201
0,1.7271010875701904,Chebyshev,0.1,205
0,0.6324009895324707,Manhattan,0.1,213
0,1.802271842956543,Euclidian,0.1,205
0,0.027858734130859375,Weighted Manhattan,0.1,213
0,0.055428266525268555,Combined Chebyshev Manhattan,0.1,205
0,0.06912803649902344,Combined Chebyshev Euclidian,0.1,205
0,0.07187795639038086,Combined Manhattan Euclidian,0.1,205
0,4.355030059814453,Chebyshev,0.2,235
0,1.6613121032714844,Manhattan,0.2,267
0,4.533955097198486,Euclidian,0.2,235
0,0.06899476051330566,Weighted Manhattan,0.2,267
0,0.14266705513000488,Combined Chebyshev Manhattan,0.2,235
0,0.16905903816223145,Combined Chebyshev Euclidian,0.2,235
0,0.16221189498901367,Combined Manhattan Euclidian,0.2,235
0,4.912484169006348,Chebyshev,0.30000000000000004,271
0,4.083599090576172,Manhattan,0.30000000000000004,331
0,5.199074029922485,Euclidian,0.30000000000000004,271
0,0.1477351188659668,Weighted Manhattan,0.30000000000000004,331
0,0.15570712089538574,Combined Chebyshev Manhattan,0.30000000000000004,271
0,0.18036603927612305,Combined Chebyshev Euclidian,0.30000000000000004,273
0,0.18421006202697754,Combined Manhattan Euclidian,0.30000000000000004,273
0,0.15761899948120117,Chebyshev,0.0,201
0,0.16332411766052246,Manhattan,0.0,201
0,0.18315410614013672,Euclidian,0.0,201
0,0.005095958709716797,Weighted Manhattan,0.0,201
0,0.005928993225097656,Combined Chebyshev Manhattan,0.0,201
0,0.006779193878173828,Combined Chebyshev Euclidian,0.0,201
0,0.006695985794067383,Combined Manhattan Euclidian,0.0,201
0,1.3668701648712158,Chebyshev,0.1,205
0,0.7941219806671143,Manhattan,0.1,219
0,1.422255039215088,Euclidian,0.1,205
0,0.035813093185424805,Weighted Manhattan,0.1,219
0,0.04044628143310547,Combined Chebyshev Manhattan,0.1,205
0,0.057003021240234375,Combined Chebyshev Euclidian,0.1,205
0,0.04812908172607422,Combined Manhattan Euclidian,0.1,205
0,3.3810629844665527,Chebyshev,0.2,221
0,2.2670042514801025,Manhattan,0.2,261
0,3.7641921043395996,Euclidian,0.2,221
0,0.11017894744873047,Weighted Manhattan,0.2,261
0,0.1107797622680664,Combined Chebyshev Manhattan,0.2,221
0,0.1268317699432373,Combined Chebyshev Euclidian,0.2,221
0,0.1238558292388916,Combined Manhattan Euclidian,0.2,221
0,6.117564916610718,Chebyshev,0.30000000000000004,287
0,2.653588056564331,Manhattan,0.30000000000000004,515
0,6.548267126083374,Euclidian,0.30000000000000004,287
0,0.189378023147583,Weighted Manhattan,0.30000000000000004,515
0,0.1840682029724121,Combined Chebyshev Manhattan,0.30000000000000004,287
0,0.21310806274414062,Combined Chebyshev Euclidian,0.30000000000000004,287
0,0.21540403366088867,Combined Manhattan Euclidian,0.30000000000000004,287
0,0.16691279411315918,Chebyshev,0.0,201
0,0.1479480266571045,Manhattan,0.0,201
0,0.18194317817687988,Euclidian,0.0,201
0,0.004704952239990234,Weighted Manhattan,0.0,201
0,0.007169961929321289,Combined Chebyshev Manhattan,0.0,201
0,0.006558895111083984,Combined Chebyshev Euclidian,0.0,201
0,0.007214784622192383,Combined Manhattan Euclidian,0.0,201
0,1.312108039855957,Chebyshev,0.1,211
0,0.7651979923248291,Manhattan,0.1,219
0,1.414039134979248,Euclidian,0.1,211
0,0.0314788818359375,Weighted Manhattan,0.1,219
0,0.042595863342285156,Combined Chebyshev Manhattan,0.1,211
0,0.053469181060791016,Combined Chebyshev Euclidian,0.1,211
0,0.04990386962890625,Combined Manhattan Euclidian,0.1,211
0,3.0013041496276855,Chebyshev,0.2,219
0,2.217194080352783,Manhattan,0.2,273
0,3.12113094329834,Euclidian,0.2,219
0,0.09489798545837402,Weighted Manhattan,0.2,273
0,0.10214900970458984,Combined Chebyshev Manhattan,0.2,219
0,0.10822510719299316,Combined Chebyshev Euclidian,0.2,219
0,0.10637879371643066,Combined Manhattan Euclidian,0.2,219
0,8.243081331253052,Chebyshev,0.30000000000000004,349
0,5.0140907764434814,Manhattan,0.30000000000000004,421
0,8.436641693115234,Euclidian,0.30000000000000004,349
0,0.2390451431274414,Weighted Manhattan,0.30000000000000004,421
0,0.2218940258026123,Combined Chebyshev Manhattan,0.30000000000000004,325
0,0.25930118560791016,Combined Chebyshev Euclidian,0.30000000000000004,297
0,0.24687910079956055,Combined Manhattan Euclidian,0.30000000000000004,297
0,0.16207098960876465,Chebyshev,0.0,201
0,0.14382171630859375,Manhattan,0.0,201
0,0.17897796630859375,Euclidian,0.0,201
0,0.004372119903564453,Weighted Manhattan,0.0,201
0,0.007864952087402344,Combined Chebyshev Manhattan,0.0,201
0,0.0067729949951171875,Combined Chebyshev Euclidian,0.0,201
0,0.007569074630737305,Combined Manhattan Euclidian,0.0,201
0,1.3288829326629639,Chebyshev,0.1,209
0,0.5763990879058838,Manhattan,0.1,223
0,1.421962022781372,Euclidian,0.1,209
